genus	genome_size
Gephyromycinifex	3449783
Gibbsiella	5548506
Gilliamella	2730829
Gilvimarinus	3956837
Gimesia	7922255
Glaciecola	4134229
Glaciihabitans	3477829
Glaciimonas	5230360
Glaesserella	2356123
Gleimia	2122058
Globicatella	2594899
Gloeobacter	4828735
Gloeocapsa	5882710
Gloeocapsopsis	5618434
Gloeothece	7198058
Gluconacetobacter	3957269
Gluconobacter	3155790
Glutamicibacter	3730551
Glycocaulis	3036707
Gordonia	5212484
Gordonibacter	3294868
Gottfriedia	4690333
Gottschalkia	3108248
Gracilibacillus	4799777
Gramella	3770983
Granulibacter	2719780
Granulicatella	1942824
Granulicella	5085853
Granulosicoccus	7783862
Grimontia	4589184
Gryllotalpicola	3677803
Gudongella	2356157
Gulosibacter	3125561
Guyparkeria	2523652
Gymnodinialimonas	3741787
Gynuella	6475959
Haematobacter	4232912
Haematospirillum	2467625
Haemophilus	1896889
Hafnia	4752038
Hahella	6344601
Haladaptatus	5005388
Halalkaliarchaeum	3246125
Halalkalibacter	4610863
Halalkalibacterium	4258978
Halalkalicoccus	4003744
Halanaeroarchaeum	2416976
Halanaerobium	2461189
Halapricum	3048940
Halarchaeum	3175875
Halarcobacter	2957431
Haliangium	9446314
Halioglobus	4211397
Haliovirga	2725473
Haliscomenobacter	8771651
Haloarcula	3972941
Halobacillus	4206573
Halobacteriovorax	3328118
Halobacterium	2671493
Halobacteroides	2649255
Halobaculum	3398697
Halobellus	3587155
Halobiforma	4381543
Halocatena	4711595
Halocella	4035760
Halococcoides	2723120
Halococcus	3334429
Halodesulfurarchaeum	2029114
Haloferax	3874803
Haloferula	5677198
Halogeometricum	3969394
Haloglomus	4443849
Halohasta	3332022
Halolamina	3465332
Halomarina	4261347
Halomicrobium	3572015
Halomicrococcus	3721977
Halomicronema	5577845
Halomonas	4141989
Halomontanus	5937752
Halopenitus	3105937
Halopiger	4355268
Haloplanus	3542123
Haloprofundus	3537074
Halopseudomonas	3957233
Haloquadratum	3219918
Halorarius	4283485
Halorarum	4268357
Halorhabdus	2928801
Halorhodospira	2756506
Halorientalis	3915734
Halorubrum	3328325
Halorussus	4238839
Halosegnis	2811024
Halosimplex	4750077
Halosolutus	4908279
Halostagnicola	4131176
Halotalea	4387428
Haloterrigena	4860078
Halothece	4179170
Halothermothrix	2578146
Halothiobacillus	2745925
Halotia	7116433
Halovenus	3769933
Halovivax	3680520
Hankyongella	2880809
Hanseniaspora	9155137
Haploplasma	1883099
Hartmannibacter	5449775
Hathewaya	2740791
Helcobacillus	2548098
Helcococcus	1773424
Helicobacter	1646058
Helicovermis	3122901
Heliomicrobium	3075407
Heliorestis	3218981
Herbaspirillum	5510126
Herbiconiux	4005723
Herbinix	2609352
Herminiimonas	3784322
Heyndrickxia	3721278
Hippea	1694430
Hirschia	3540114
Histophilus	2131340
Hoeflea	4974729
Homoserinibacter	2881328
Horticoccus	4320198
Hoylesella	3159183
Hoyosella	4863490
Hujiaoplasma	1808583
Humibacter	4183638
Humisphaera	7189892
Hungatella	6296958
Hwangdonia	3906595
Hydrocarboniclastica	4258501
Hydrogenibacillus	2659005
Hydrogenimonas	2401260
Hydrogenobacter	1726339
Hydrogenobaculum	1554151
Hydrogenophaga	5149048
Hydrogenophilus	2288780
Hydrogenovibrio	2519148
Hymenobacter	5142629
Hypericibacter	5879682
Hyperthermus	1667163
Hyphobacterium	2690927
Hyphococcus	3472649
Hyphomicrobium	4213430
Hyphomonas	3625153
Hyphopichia	12496550
Iamia	4913266
Ichthyobacterium	1921407
Ideonella	4544016
Idiomarina	2752791
Ignatzschineria	2819033
Ignavibacterium	3658997
